pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,benchmarking_prices,benchmarking_shed_hours,open_tyndp_type,pypsa_eur_carrier,comment
,,,,,,CH4 Residential&Tertiary,,exogenous gas demand,,Gas Exogenous Demand,,,,,,exogenous demand,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 Transport,,exogenous gas demand,,Gas Exogenous Demand,,,,,,exogenous demand,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 Industry,,exogenous gas demand,,Gas Exogenous Demand,,,,,,exogenous demand,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 Agriculture,,exogenous gas demand,,Gas Exogenous Demand,,,,,,exogenous demand,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 Power Generation,,,,,,,,,,power generation,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 Non-energy use,,exogenous gas demand,,Gas Exogenous Demand,,,,,,exogenous demand,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 Others,,exogenous gas demand,,Gas Exogenous Demand,,,,,,exogenous demand,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 International maritime bunkers,,exogenous gas demand,,Gas Exogenous Demand,,,,,,exogenous demand,,,,,,,,,,Methane demand benchmark
,,,,,,CH4 SMR,,,,,,,,,,smr (grey) and smr with ccs (blue),,,,,,,,,,Methane demand benchmark
,,,,,Steam methane reformer,SMR (Grey),,SMR,,SMR (Grey Hydrogen),,,,,,smr (grey) and smr with ccs (blue),,,smr (grey) and smr with ccs (blue),,,,,,,"Hydrogen supply benchmark, Methane demand benchmark, TYNDP market model doesn't distinguish between grey and blue SMR in the output files"
,,,,,Steam methane reformer,SMR with CCS (Blue),,SMR CC,,SMR (CCS) (Blue Hydrogen),,,,,,smr (grey) and smr with ccs (blue),,,smr (grey) and smr with ccs (blue),,,,,,,"Hydrogen supply benchmark, Methane demand benchmark, TYNDP market model doesn't distinguish between grey and blue SMR in the output files"
,,,,,,Undefined for generation,,,,,,,,,,,,,undefined for generation,,,,,,,Hydrogen supply benchmark
,,,,,,Low carbon imports,,H2 import Pipeline,,H2 Import Pipeline,,,,,,,,,imports (renewable & low carbon),,,,,,,Hydrogen supply benchmark
,,,,,,Renewable imports,,H2 import Pipeline,,H2 Import Pipeline,,,,,,,,,imports (renewable & low carbon),,,,,,,Hydrogen supply benchmark
,,,,,,Ammonia imports,,H2 import LH2,,H2 Import LH2,,,,,,,,,ammonia imports,,,,,,,Hydrogen supply benchmark
,,,,,,Biomethane (Domestic),,biogas to gas,,Biogas to Gas,,,,,,,,biomethane (domestic),,,,,,,,Methane supply benchmark
,,,,,,Biomethane (Import),,,,,,,,,,,,biomethane (import),,,,,,,,Methane supply benchmark
,,,,,,Natural gas (Domestic),,,,,,,,,,,,natural gas (domestic),,,,,,,,Methane supply benchmark
,,,,,,Natural gas (Import),,gas,,Gas Primary,,,,,,,,natural gas (import),,,,,,,,Methane supply benchmark
,,,,,,Synthetic methane (Domestic),,Sabatier,,Sabatier,,,,,,,,synthetic methane (domestic),,,,,,,,Methane supply benchmark
,,,,,,Synthetic methane (Import),,,,,,,,,,,,synthetic methane (import),,,,,,,,Methane supply benchmark
,,,,,,Final demand,,biomass final energy demand,,Biomass Final Energy Demand,,,,,,,,,,final demand,,,,,,Biomass supply benchmark
,,,,,,For electricity,,,,,,,,,,,,,,for electricity,,,,,,Biomass supply benchmark
,,,,,,For biomethane,,biogas,,Biogas,,,,,,,,,,for biomethane,,,,,,Biomass supply benchmark
,,,,,,For biofuels,,biomass to liquid,,Biomass to Liquid,,,,,,,,,,for biofuels,,,,,,Biomass supply benchmark
,,,,,,For biofuels,,biomass to liquid CC,,Biomass to Liquid (CCS),,,,,,,,,,for biofuels,,,,,,Biomass supply benchmark
,,,,,,Methane,,gas,,Gas Primary,,,,,,,,,,,methane,,,,,Energy imports benchmark
,,,,,,Hydrogen,,H2 import LH2,,H2 Import LH2,,,,,,,,,,,hydrogen,,,,,Energy imports benchmark
,,,,,,Hydrogen,,H2 import Pipeline,,H2 Import Pipeline,,,,,,,,,,,hydrogen,,,,,Energy imports benchmark
,,,,,,Liquids,,oil primary,,Oil Primary,,,,,,,,,,,liquids,,,,,Energy imports benchmark
,,,,,,Solids,,coal,,Coal Primary,,,,,,,,,,,solids,,,,,Energy imports benchmark
,,,,,,Solids,,lignite,,Lignite Primary,,,,,,,,,,,solids,,,,,Energy imports benchmark
,,,,,,Biomass,,,,,,,,,,,,,,,biomass,,,,,Energy imports benchmark
,,,,,,,,electricity distribution grid,,Electricity Distribution Grid,,,,,,,,,,,,,,,,
,,,,,,,,DC,,Electricity Transmission,,,,,,,,,,,,,,,,
,,,,,,,,DC_OH,,Offshore Hub Transmission,,,,,,,,,,,,,,,,
,,,,,,,,H2 cavern-storage charger,,H2 Cavern Storage Bicharger,,,,,,,,,,,,,,,,
,,,,,,,,H2 cavern-storage discharger,,H2 Cavern Storage Bicharger,,,,,,,,,,,,,,,,
,,,,,,,,H2 cavern-storage,,H2 Cavern Storage,,,,,,,,,,,,,,,,
,,,,,,,,H2,,Hydrogen,,,,,,,,,,,,,,,,
,,,,,,,,H2_OH,,Hydrogen Offshore Hub,,,,,,,,,,,,,,,,
